,City Name,City code,Lat,Long,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kapaa,5848280,22.08,-159.32,74.61,88,90,14.99
1,Hermanus,3366880,-34.42,19.24,57.0,89,0,10.74
2,Brigantine,4500920,39.41,-74.36,84.7,42,1,6.93
3,Brae,2654970,60.4,-1.35,53.6,93,75,17.22
4,Upernavik,3418910,72.79,-56.15,34.06,90,12,10.54
5,Khatanga,2022572,71.98,102.47,52.6,48,100,8.95
6,Litein,189367,-0.58,35.18,62.14,96,97,2.37
7,Akureyri,2633274,65.68,-18.09,69.8,43,40,11.41
8,Rikitea,4030556,-23.12,-134.97,73.3,79,74,9.91
9,Jacareacanga,3397763,-6.22,-57.76,89.86,43,67,4.14
10,Longyearbyen,2729907,78.22,15.63,44.6,70,75,9.17
11,Hami,1529484,42.84,93.51,73.66,32,64,9.04
12,Lensk,2020838,60.71,114.91,58.9,80,0,4.07
13,Punta Arenas,3874787,-53.16,-70.91,32.0,67,40,9.17
14,Tuktoyaktuk,6170031,69.44,-133.03,37.4,91,75,20.8
15,Igarka,1505991,67.47,86.57,52.24,50,100,5.26
16,Anadyr,2127202,64.73,177.51,46.18,81,20,8.95
17,Thompson,6165406,55.74,-97.86,53.6,93,90,6.93
18,Nikolskoye,546105,59.7,30.79,64.87,59,75,6.71
19,Mwene-Ditu,207570,-7.01,23.45,88.78,23,58,2.44
20,Goundam,2456917,16.42,-3.66,109.3,14,0,10.54
21,Tautira,4033557,-17.73,-149.15,77.0,78,40,8.05
22,Castro,3896218,-42.48,-73.76,46.4,87,75,11.41
23,Carnarvon,1014034,-30.97,22.13,55.12,19,0,10.74
24,Port Alfred,964432,-33.59,26.89,61.0,92,33,1.01
25,Mataura,6201424,-46.19,168.86,50.0,85,84,5.01
26,Vaini,1273574,15.34,74.49,73.4,88,75,13.87
27,Hithadhoo,1282256,-0.6,73.08,84.82,70,31,7.09
28,Cape Town,3369157,-33.93,18.42,56.25,82,0,6.93
29,Kirovskiy,2022064,45.09,133.51,64.66,91,100,3.69
30,Batagay-Alyta,2027042,67.8,130.41,54.22,69,67,2.3
31,Ushuaia,3833367,-54.81,-68.31,32.0,84,75,9.17
32,Souillac,3026644,45.6,-0.6,97.97,34,0,10.29
33,Hasaki,2112802,35.73,140.83,69.87,94,0,6.93
34,Sisimiut,3419842,66.94,-53.67,42.52,81,0,26.33
35,Avarua,4035715,-21.21,-159.78,69.8,94,50,1.12
36,Busselton,2075265,-33.64,115.35,54.27,50,29,34.78
37,Hovd,7626384,63.83,10.7,52.2,66,75,17.22
38,Beysehir,321191,37.68,31.72,81.4,36,51,8.93
39,Albany,5106834,42.65,-73.75,79.3,51,40,3.36
40,Pathein,1328421,16.78,94.73,79.78,86,100,6.26
41,Chuy,3443061,-33.69,-53.46,50.08,57,0,10.33
42,Dikson,1507390,73.51,80.55,33.7,97,100,18.66
43,Ovalle,3877918,-30.6,-71.2,56.74,42,0,5.77
44,Barrow,3833859,-38.31,-60.23,53.68,27,62,27.51
